||=== Build: Robi_Debug in piMASS (compiler: GNU GCC Compiler) ===|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp|789|note: in expansion of macro ‘gpmCLR’|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp||In constructor ‘gpcZS::gpcZS(const gpcDrc&)’:|
/home/pi/Desktop/piMASS/piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpc_mitsub.cpp|822|note: in expansion of macro ‘gpmCLR’|
./piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
./piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
./piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
./piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
./piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
./piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
./piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
./piMASS.h|1265|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U4x4& U4x4::operator=(U4)’:|
./piMASS.h|1735|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U4x4& U4x4::operator=(I4)’:|
./piMASS.h|1739|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘I4x4* I4x4::index(U4)’:|
./piMASS.h|2825|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
./piMASS.h|4638|warning: suggest explicit braces to avoid ambiguous ‘else’ [-Wparentheses]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyWR(const char*, bool)’:|
./piMASS.h|4804|warning: label ‘szasz’ defined but not used [-Wunused-label]|
./gpcpic.h||In member function ‘U1x4* gpcPIC::u1x4LOCK(SDL_Renderer*, U4x2, int&)’:|
./gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcgt.h|417|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h|418|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h|420|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h|426|warning: ‘packed’ attribute ignored for field of type ‘U1 [3] {aka unsigned char [3]}’ [-Wattributes]|
./gpcgt.h|427|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h||In member function ‘void gpcFD::zero(U4)’:|
./gpcgt.h|580|warning: unused variable ‘p_Z’ [-Wunused-variable]|
include/gpcOPCD.h||In member function ‘gpcOPCD& gpcOPCD::null()’:|
include/gpcOPCD.h|52|warning: no return statement in function returning non-void [-Wreturn-type]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h||In member function ‘gpcCMPL& gpcCMPL::null()’:|
include/gpcOPCD.h|125|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcSRC.h||In member function ‘void* gpcLAY::pRE(U4, U4, U4, U4)’:|
./piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcSRC.h|478|note: in expansion of macro ‘gpmDELary’|
./gpcSRC.h||In member function ‘U8 gpcSRC::CRSminiCR(I4x2&, bool)’:|
./piMASS.h|227|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcSRC.h|662|note: in expansion of macro ‘min’|
./gpcres.h||In member function ‘gpcISA* gpcISA::null()’:|
./piMASS.h|286|warning: possible problem detected in invocation of delete operator: [-Wdelete-incomplete]|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h|60|warning: invalid use of incomplete type ‘class gpcRES’|
./piMASS.h|286|note: in definition of macro ‘gpmDEL’|
./gpcres.h|7|note: forward declaration of ‘class gpcRES’|
./piMASS.h|286|note: neither the destructor nor the class-specific operator delete will be called, even if they are declared when the class is defined|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h||In member function ‘gpcREG& gpcREG::operator=(U1*)’:|
./gpcres.h|230|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpfFLG& gpfFLG::null()’:|
./gpcres.h|643|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpcRES* gpcRES::chg(gpcALU&)’:|
./piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|871|note: in expansion of macro ‘gpmDELary’|
./piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|902|note: in expansion of macro ‘gpmDELary’|
./gpcres.h||In member function ‘gpcALU& gpcRES::ADD(gpeALF, U4, U4)’:|
./gpcres.h|919|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|928|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|939|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|952|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|962|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|971|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h||In member function ‘U4 gpcRES::iFND(gpeALF)’:|
./gpcres.h|995|warning: unused variable ‘x’ [-Wunused-variable]|
include/gpcwin.h||In member function ‘gpcLZY* gpcWIN::putLIST(gpcLZY*, gpeNET4, I8x4, char*)’:|
include/gpcwin.h|606|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘I8 {aka long long int}’ [-Wformat=]|
include/gpcwin.h||In member function ‘gpcLZY* gpcWIN::putMINI(gpcLZY*, gpeNET4, I8x4, char*)’:|
include/gpcwin.h|659|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘I8 {aka long long int}’ [-Wformat=]|
./gpcres.h||In member function ‘U8 gpcALU::u8()’:|
./gpcres.h|512|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h||In member function ‘I8 gpcALU::i8()’:|
./gpcres.h|553|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h||In member function ‘double gpcALU::d8()’:|
./gpcres.h|592|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./gpcres.h||In member function ‘gpcRES* gpcRES::chg(gpcALU&)’:|
./gpcres.h|854|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
./piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
./piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
./piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
./piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
./piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
./piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
./piMASS.h|1265|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U4x4& U4x4::operator=(U4)’:|
./piMASS.h|1735|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘U4x4& U4x4::operator=(I4)’:|
./piMASS.h|1739|warning: no return statement in function returning non-void [-Wreturn-type]|
./piMASS.h||In member function ‘I4x4* I4x4::index(U4)’:|
./piMASS.h|2825|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
./piMASS.h|4638|warning: suggest explicit braces to avoid ambiguous ‘else’ [-Wparentheses]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyWR(const char*, bool)’:|
./piMASS.h|4804|warning: label ‘szasz’ defined but not used [-Wunused-label]|
./gpcpic.h||In member function ‘U1x4* gpcPIC::u1x4LOCK(SDL_Renderer*, U4x2, int&)’:|
./gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcpic.h|164|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcgt.h|417|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h|418|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h|420|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h|426|warning: ‘packed’ attribute ignored for field of type ‘U1 [3] {aka unsigned char [3]}’ [-Wattributes]|
./gpcgt.h|427|warning: ‘packed’ attribute ignored for field of type ‘U1 {aka unsigned char}’ [-Wattributes]|
./gpcgt.h||In member function ‘void gpcFD::zero(U4)’:|
./gpcgt.h|580|warning: unused variable ‘p_Z’ [-Wunused-variable]|
include/gpcOPCD.h||In member function ‘gpcOPCD& gpcOPCD::null()’:|
include/gpcOPCD.h|52|warning: no return statement in function returning non-void [-Wreturn-type]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h|115|warning: ISO C++ forbids converting a string constant to ‘char*’ [-Wwrite-strings]|
include/gpcOPCD.h||In member function ‘gpcCMPL& gpcCMPL::null()’:|
include/gpcOPCD.h|125|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcSRC.h||In member function ‘void* gpcLAY::pRE(U4, U4, U4, U4)’:|
./piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcSRC.h|478|note: in expansion of macro ‘gpmDELary’|
./gpcSRC.h||In member function ‘U8 gpcSRC::CRSminiCR(I4x2&, bool)’:|
./piMASS.h|227|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./gpcSRC.h|662|note: in expansion of macro ‘min’|
./gpcres.h||In member function ‘gpcISA* gpcISA::null()’:|
./piMASS.h|286|warning: possible problem detected in invocation of delete operator: [-Wdelete-incomplete]|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h|60|warning: invalid use of incomplete type ‘class gpcRES’|
./piMASS.h|286|note: in definition of macro ‘gpmDEL’|
./gpcres.h|7|note: forward declaration of ‘class gpcRES’|
./piMASS.h|286|note: neither the destructor nor the class-specific operator delete will be called, even if they are declared when the class is defined|
./gpcres.h|60|note: in expansion of macro ‘gpmDEL’|
./gpcres.h||In member function ‘gpcREG& gpcREG::operator=(U1*)’:|
./gpcres.h|230|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpfFLG& gpfFLG::null()’:|
./gpcres.h|643|warning: no return statement in function returning non-void [-Wreturn-type]|
./gpcres.h||In member function ‘gpcRES* gpcRES::chg(gpcALU&)’:|
./piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|871|note: in expansion of macro ‘gpmDELary’|
./piMASS.h|287|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|902|note: in expansion of macro ‘gpmDELary’|
./gpcres.h||In member function ‘gpcALU& gpcRES::ADD(gpeALF, U4, U4)’:|
./gpcres.h|919|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|928|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|939|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|952|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|962|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h|971|warning: deleting ‘void*’ is undefined [-Wdelete-incomplete]|
./gpcres.h||In member function ‘U4 gpcRES::iFND(gpeALF)’:|
./gpcres.h|995|warning: unused variable ‘x’ [-Wunused-variable]|
include/gpcwin.h||In member function ‘gpcLZY* gpcWIN::putLIST(gpcLZY*, gpeNET4, I8x4, char*)’:|
include/gpcwin.h|606|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘I8 {aka long long int}’ [-Wformat=]|
include/gpcwin.h||In member function ‘gpcLZY* gpcWIN::putMINI(gpcLZY*, gpeNET4, I8x4, char*)’:|
include/gpcwin.h|659|warning: format ‘%d’ expects argument of type ‘int’, but argument 3 has type ‘I8 {aka long long int}’ [-Wformat=]|
include/gpccrs.h||In member function ‘I4* gpcCRS::ZNpos(const I4x2&, I4*, I4*)’:|
include/gpccrs.h|49|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h|49|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h|65|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h|71|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h||In member function ‘void gpcCRS::CRSins(gpcMASS&, U1*, U1*)’:|
include/gpccrs.h|149|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
include/gpccrs.h|156|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h|165|warning: unused variable ‘nSUB’ [-Wunused-variable]|
include/gpccrs.h||In member function ‘void gpcCRS::frmDRWtx(SDL_Rect, SDL_Rect, I4x2, SDL_Renderer*, SDL_Texture*, U1, U4, const U1*)’:|
include/gpccrs.h|289|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
include/gpccrs.h||In member function ‘void gpcCRS::frmDRW(SDL_Rect, SDL_Rect, I4x2, SDL_Surface*, SDL_Surface*, U1, U4, const U1*)’:|
include/gpccrs.h|437|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
/home/pi/Desktop/piMASS/gpcGL.cpp||In member function ‘GLint gpcGLSL::GLSLlnk(const char**)’:|
/home/pi/Desktop/piMASS/gpcGL.cpp|435|warning: comparison between signed and unsigned integer expressions [-Wsign-compare]|
./piMASS.h||In constructor ‘gpcLZY::gpcLZY()’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h|4396|note: in expansion of macro ‘gpmCLR’|
./piMASS.h||In constructor ‘gpcLZY::gpcLZY(U1)’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h|4400|note: in expansion of macro ‘gpmCLR’|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyRST()’:|
./piMASS.h|4441|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyADD(const void*, U8, U8&, U1)’:|
./piMASS.h|4468|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzy_exp(U8&, U8, U8, U1)’:|
./piMASS.h|4595|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
./piMASS.h||In member function ‘gpcLZY* gpcLZY::lzyINS(const U1*, U8, U8&, U8, U1)’:|
./piMASS.h|4682|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcGL.cpp||In constructor ‘gpcGL::gpcGL(gpcWIN&)’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/gpcGL.cpp|4|note: in expansion of macro ‘gpmCLR’|
include/gpcwin.h||In constructor ‘gpcGLSL::gpcGLSL(const I8x2&, const char*, const char*)’:|
./piMASS.h|240|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
include/gpcwin.h|49|note: in expansion of macro ‘gpmCLR’|
include/gpcwin.h||In member function ‘gpcGLSL* gpcGLSL::pNEW(const I8x2&, const char*, const char*, const char*, const char*, const char*)’:|
include/gpcwin.h|82|warning: nonnull argument ‘this’ compared to NULL [-Wnonnull-compare]|
/home/pi/Desktop/piMASS/piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
/home/pi/Desktop/piMASS/piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
/home/pi/Desktop/piMASS/piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
/home/pi/Desktop/piMASS/piMASS.h|172|warning: "NULL" redefined|
/usr/lib/gcc/arm-linux-gnueabihf/6/include/stddef.h|403|note: this is the location of the previous definition|
include/gpeALF.h|1173|warning: unknown escape sequence: '\`'|
/home/pi/Desktop/piMASS/piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
/home/pi/Desktop/piMASS/piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
/home/pi/Desktop/piMASS/piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
/home/pi/Desktop/piMASS/piMASS.h||In function ‘bool gpfMKDR(char*, const char*)’:|
/home/pi/Desktop/piMASS/piMASS.h|465|warning: suggest parentheses around assignment used as truth value [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h|463|warning: unused variable ‘p_end’ [-Wunused-variable]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U1x4& U1x4::typMX(U1x4)’:|
/home/pi/Desktop/piMASS/piMASS.h|862|warning: suggest parentheses around comparison in operand of ‘&’ [-Wparentheses]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(U2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1261|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U2x4& U2x4::operator=(I2)’:|
/home/pi/Desktop/piMASS/piMASS.h|1265|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(U4)’:|
/home/pi/Desktop/piMASS/piMASS.h|1735|warning: no return statement in function returning non-void [-Wreturn-type]|
/home/pi/Desktop/piMASS/piMASS.h||In member function ‘U4x4& U4x4::operator=(I4)’:|
